memberID,holdtime,puzzlepack,pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles
member4,11.289441297400831,Liberty Puzzles Linnea Pergola The Girl and the Sea Liberty Puzzles Phil Lewis Flatirons,Liberty Puzzles Linnea Pergola The Girl and the Sea Liberty Puzzles Phil Lewis Flatirons,489,433,3,3,Liberty,Liberty,2
member4,7.825819897202951,Artifact Puzzles Bruce Riley Stem Cell Artifact Puzzles APAK Islands Of Life,Artifact Puzzles Bruce Riley Stem Cell Artifact Puzzles APAK Islands Of Life,191,165,1,1,Artifact,Artifact,2
member4,6.10561844288728,Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party,Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party,300,206,1,1,Artifact,Artifact,2
member4,21.00753592722729,Wentworth Puzzles P.D. Moreno Cabin in the Woods ,Wentworth Puzzles P.D. Moreno Cabin in the Woods ,1000,0,1,2,Wentworth,Wentworth,1
member4,20.0403696683389,Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams,Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams,189,175,1,1,Artifact,Artifact,2
member4,34.06719222601188,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies,418,413,2,2,Artifact,Artifact,2
member4,45.08465552965201,Ecru Puzzles Layers Of Afternoon Ecru Puzzles William Penhallow Henderson Luceros Place,Ecru Puzzles Layers Of Afternoon Ecru Puzzles William Penhallow Henderson Luceros Place,287,385,2,1,Ecru,Ecru,2
member4,97.10092363074348,Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon,Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon,426,258,3,3,Artifact,Ecru,2
member4,29.8239346468541,Artifact Puzzles Matte Stephens Central Park Fifth Avenue Artifact Puzzles APAK Celebrating Nature,Artifact Puzzles Matte Stephens Central Park Fifth Avenue Artifact Puzzles APAK Celebrating Nature,439,412,2,3,Artifact,Artifact,2
member5,4.769832372825822,Artifact Puzzles Hokusai Dragon Artifact Puzzles Franz Marc 1912 Blue Horse,Artifact Puzzles Hokusai Dragon Artifact Puzzles Franz Marc 1912 Blue Horse,81,96,4,2,Artifact,Artifact,2
member5,8.275867401197187,Artifact Puzzles Kevin Sloan Burden of Formality Artifact Puzzles Nadiezda Night Ship,Artifact Puzzles Kevin Sloan Burden of Formality Artifact Puzzles Nadiezda Night Ship,432,283,2,2,Artifact,Artifact,2
member5,5.808636941825255,Artifact Puzzles Vikram Madan Social Distancing Ecru Puzzles Kristian Adam Galapalooga Bay,Artifact Puzzles Vikram Madan Social Distancing Ecru Puzzles Kristian Adam Galapalooga Bay,228,291,3,2,Artifact,Ecru,2
member5,3.008151595738565,Ecru Puzzles Hokusai Wave Ecru Puzzles Rachell Sumpter Wild Moor,Ecru Puzzles Hokusai Wave Ecru Puzzles Rachell Sumpter Wild Moor,327,260,2,1,Ecru,Ecru,2
member5,6.019468716318518,Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales,Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales,422,364,3,2,Artifact,Artifact,2
member5,6.094232564347049,Wentworth Puzzles Three Wise Men Whimsy Puzzles Second Date,Wentworth Puzzles Three Wise Men Whimsy Puzzles Second Date,250,350,1,1,Wentworth,Other-Laser-cut,2
member5,6.659496799120127,Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin,Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin,65,207,1,2,Artifact,Artifact,2
member5,4.739455028589398,Artifact Puzzles Claire Henley Sailing Round The Mount Artifact Puzzles Angie Rees When Whales Set Sail,Artifact Puzzles Claire Henley Sailing Round The Mount Artifact Puzzles Angie Rees When Whales Set Sail,256,278,1,1,Artifact,Artifact,2
member5,5.750108527584838,Nautilus Puzzles Once Upon a Fairytale ,Nautilus Puzzles Once Upon a Fairytale ,428,0,1,2,Nautilus,Nautilus,1
member5,12.811756926366993,Ecru Puzzles Allen Gilbert Cram Fishermans Cottage Artifact Puzzles Georgia Okeefe Reflections,Ecru Puzzles Allen Gilbert Cram Fishermans Cottage Artifact Puzzles Georgia Okeefe Reflections,158,205,2,3,Artifact,Ecru,2
member5,10.50908449613036,Artifact Puzzles Carl Larsson Holiday Reading Artifact Puzzles Dove Of The Holy Spirit,Artifact Puzzles Carl Larsson Holiday Reading Artifact Puzzles Dove Of The Holy Spirit,163,88,2,3,Artifact,Artifact,2
member5,4.822704828973692,Wentworth Puzzles Westminster at Christmas ,Wentworth Puzzles Westminster at Christmas ,1000,0,2,2,Wentworth,Wentworth,1
member5,4.635830837153252,Artifact Puzzles Allie Sullberg Lets Dance Artifact Puzzles Kevin Sloan Welcome to the Wilderness,Artifact Puzzles Allie Sullberg Lets Dance Artifact Puzzles Kevin Sloan Welcome to the Wilderness,367,418,2,2,Artifact,Artifact,2
member5,2.04567535426956,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Tomasz Pietrzyk Romeo And Juliet,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Tomasz Pietrzyk Romeo And Juliet,346,424,1,1,Artifact,Artifact,2
member5,6.737305357109352,Ecru Puzzles Franz Marc Cat Ecru Puzzles Patricia Hopwood-Wade Snowbirds,Ecru Puzzles Franz Marc Cat Ecru Puzzles Patricia Hopwood-Wade Snowbirds,138,209,4,3,Ecru,Ecru,2
member5,7.90803761611463,Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,411,365,1,1,Artifact,Artifact,2
member5,7.908142463449294,Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,405,310,1,1,Artifact,Artifact,2
