name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
Artifact Puzzles Joachim Patinir Crossing the River Styx Artifact Puzzles Ton Schulten Langs De Oever,134,168,0,0,2
Ecru Puzzles Franz Marc Cat Ecru Puzzles Patricia Hopwood-Wade Snowbirds,0,0,209,138,2
Artifact Puzzles Bokuyo Forest  ,0,0,0,689,1
Artifact Puzzles Great Robot Migration ,0,0,480,0,1
Ecru Roch Urbaniak Bosfor Artifact Puzzles Seurat Eiffel Tower,135,0,214,0,2
Artifact Puzzles Jonik Troll Toll Artifact Puzzles Eric Joyner Tiki Misadventure,905,0,0,0,2
Artifact Puzzles Edward Hopper Chop Suey Artifact Puzzles Edward Hopper Nighthawks ,720,0,0,0,2
Artifact Puzzles Tom Kidd Dunne Estates Artifact Puzzles Old Venice Map,91,423,0,0,2
Stave Puzzles Spa de Bow Wow Wentworth Puzzles Joseph Turner Dawn after the Wreck,0,140,0,65,2
Artifact Puzzles Van Gogh De Sterrennacht  Artifact Puzzles Kathryn Freeman The Sunday Paper Wooden,0,177,336,0,2
Artifact Puzzles Sorolla Valencia Artifact Puzzles Monet Bridge ,306,0,0,0,2
Artifact Puzzles Bee Eater Artifact Puzzles Gustav Klimt Baby,0,720,0,0,2
"Stave Puzzles My Special Tea Wentworth Puzzles The Library Chatsworth, Derbyshire",300,0,75,0,2
Artifact Puzzles Joe Vaux Grass Is Greener Artifact Puzzles Justin Hillgrove Mad Tea Party,360,0,0,0,2
Nautilus Puzzles Hello Angel Up ,0,450,0,0,1
Artifact Puzzles Aaron Wolf Cathedral Of The Changing Tides Artifact Puzzles Jeyselle Solentiname Jungle,0,0,679,0,2
Artifact Puzzles Hieronymus Bosch Garden Of Earthly Delights ,0,0,529,0,1
Liberty Puzzles Paul Signac The Port of Saint-Tropez Liberty Puzzles Janice Larson Fall Garden,0,533,488,0,2
Ecru Puzzles Erin Hanson Cypress Lights Artifact Puzzles Vincent Van Gogh Two Figures In the Undergrowth,0,0,844,0,2
